,X,Y
,X,Y
LAYER 13A,1523.62,405.35
,1523.62,389.07
,1601.59,344.05
,1601.59,162.10
,1608.09,150.84
,1608.09,38.05
,1559.51,66.09
,1559.51,-215.84
,1601.24,-239.93
,1601.24,-343.24
,1523.62,-388.06
,1523.62,-409.16
,315.84,-85.35
,315.84,81.90
,,
,X,Y
LAYER 13B,1118.32,1113.66
,1183.69,1075.92
,1227.49,1101.21
,1315.96,947.97
,1265.92,919.09
,1428.92,636.78
,1479.45,665.96
,1567.92,512.72
,1523.62,487.14
,1523.62,406.84
,316.45,83.56
,232.83,228.41
